source,target,date,age,weight
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/1968,https://dati.cortecostituzionale.it/ontology/Pronuncia/77/1967,1968-03-11,270,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/1969,https://dati.cortecostituzionale.it/ontology/Pronuncia/103/1964,1969-01-30,1519,2
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/1969,https://dati.cortecostituzionale.it/ontology/Pronuncia/12/1957,1969-01-30,4395,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/1969,https://dati.cortecostituzionale.it/ontology/Pronuncia/6/1969,1969-01-30,1,4
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/1969,https://dati.cortecostituzionale.it/ontology/Pronuncia/62/1965,1969-01-30,1318,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/1999,https://dati.cortecostituzionale.it/ontology/Pronuncia/431/1997,1999-01-18,398,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/1999,https://dati.cortecostituzionale.it/ontology/Pronuncia/86/1985,1999-01-18,5045,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/111/1997,2015-02-09,6515,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/116/2013,2015-02-09,616,2
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/139/1984,2015-02-09,11239,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/142/2014,2015-02-09,266,2
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/143/1995,2015-02-09,7221,2
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/155/1963,2015-02-09,18694,2
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/159/1985,2015-02-09,10871,2
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/201/2014,2015-02-09,215,3
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/21/1996,2015-02-09,6956,2
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/21/2005,2015-02-09,3681,3
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/213/2008,2015-02-09,2436,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/22/2012,2015-02-09,1092,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/223/2012,2015-02-09,854,3
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/258/2002,2015-02-09,4620,2
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/260/1990,2015-02-09,9028,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/34/1961,2015-02-09,19603,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/341/2000,2015-02-09,5325,5
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/50/1989,2015-02-09,9496,2
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/7/2014,2015-02-09,390,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1957,https://dati.cortecostituzionale.it/ontology/Pronuncia/41/1957,1957-06-07,98,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1964,https://dati.cortecostituzionale.it/ontology/Pronuncia/21/1961,1964-12-03,1350,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1964,https://dati.cortecostituzionale.it/ontology/Pronuncia/45/1963,1964-12-03,609,4
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1964,https://dati.cortecostituzionale.it/ontology/Pronuncia/79/1961,1964-12-03,1078,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1964,https://dati.cortecostituzionale.it/ontology/Pronuncia/91/1964,1964-12-03,14,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1969,https://dati.cortecostituzionale.it/ontology/Pronuncia/21/1961,1969-05-22,2981,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1991,https://dati.cortecostituzionale.it/ontology/Pronuncia/221/1986,1991-02-25,1595,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1996,https://dati.cortecostituzionale.it/ontology/Pronuncia/14/1995,1996-03-25,438,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1996,https://dati.cortecostituzionale.it/ontology/Pronuncia/410/1995,1996-03-25,249,2
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/2007,https://dati.cortecostituzionale.it/ontology/Pronuncia/156/2001,2007-03-07,2127,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/376/1989,2015-05-13,9445,2
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/80/2014,2015-05-13,401,15
https://dati.cortecostituzionale.it/ontology/Pronuncia/1006/1988,https://dati.cortecostituzionale.it/ontology/Pronuncia/367/1985,1988-10-12,1029,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/1006/1988,https://dati.cortecostituzionale.it/ontology/Pronuncia/400/1987,1988-10-12,336,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/1962,https://dati.cortecostituzionale.it/ontology/Pronuncia/87/1962,1962-11-15,135,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/107/2021,2022-03-09,329,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/11/1995,2022-03-09,9919,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/115/2010,2022-03-09,4370,2
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/167/2018,2022-03-09,1345,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/236/2017,2022-03-09,1611,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/26/1982,2022-03-09,14639,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/269/2017,2022-03-09,1583,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/37/1997,2022-03-09,9169,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/52/2022,2022-03-09,56,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/82/2021,2022-03-09,350,3
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/89/2018,2022-03-09,1448,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/102/1962,https://dati.cortecostituzionale.it/ontology/Pronuncia/65/1962,1962-11-15,161,2
https://dati.cortecostituzionale.it/ontology/Pronuncia/102/1973,https://dati.cortecostituzionale.it/ontology/Pronuncia/144/1972,1973-06-14,343,3
https://dati.cortecostituzionale.it/ontology/Pronuncia/102/1993,https://dati.cortecostituzionale.it/ontology/Pronuncia/144/1972,1993-03-10,7552,4
https://dati.cortecostituzionale.it/ontology/Pronuncia/102/1993,https://dati.cortecostituzionale.it/ontology/Pronuncia/159/1985,1993-03-10,2865,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/102/1993,https://dati.cortecostituzionale.it/ontology/Pronuncia/201/1975,1993-03-10,6466,2
https://dati.cortecostituzionale.it/ontology/Pronuncia/102/1993,https://dati.cortecostituzionale.it/ontology/Pronuncia/22/1992,1993-03-10,413,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/102/1993,https://dati.cortecostituzionale.it/ontology/Pronuncia/70/1960,1993-03-10,11782,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/102/2008,https://dati.cortecostituzionale.it/ontology/Pronuncia/103/2008,2008-02-13,0,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/102/2008,https://dati.cortecostituzionale.it/ontology/Pronuncia/128/1966,2008-02-13,15035,1
