source,target,prov,context,age,weight,date
https://dati.cortecostituzionale.it/ontology/Pronuncia/141/1986,https://dati.cortecostituzionale.it/ontology/Pronuncia/113/1985,DIRITTO,IT-COST-1986-141_DIRITTO_line-2_PAR-2,421,1,1986-06-11
https://dati.cortecostituzionale.it/ontology/Pronuncia/141/1986,https://dati.cortecostituzionale.it/ontology/Pronuncia/29/1986,DIRITTO,IT-COST-1986-141_DIRITTO_line-3_PAR-3,135,1,1986-06-11
https://dati.cortecostituzionale.it/ontology/Pronuncia/426/2002,https://dati.cortecostituzionale.it/ontology/Pronuncia/159/1985,DIRITTO,IT-COST-2002-426_DIRITTO_line-3,6357,1,2002-10-07
https://dati.cortecostituzionale.it/ontology/Pronuncia/426/2002,https://dati.cortecostituzionale.it/ontology/Pronuncia/143/1995,DIRITTO,IT-COST-2002-426_DIRITTO_line-3,2724,1,2002-10-07
https://dati.cortecostituzionale.it/ontology/Pronuncia/426/2002,https://dati.cortecostituzionale.it/ontology/Pronuncia/286/2001,DIRITTO|DIRITTO,IT-COST-2002-426_DIRITTO_line-1|IT-COST-2002-426_DIRITTO_line-2,452,2,2002-10-07
https://dati.cortecostituzionale.it/ontology/Pronuncia/426/2002,https://dati.cortecostituzionale.it/ontology/Pronuncia/21/1996,DIRITTO,IT-COST-2002-426_DIRITTO_line-3,2447,1,2002-10-07
https://dati.cortecostituzionale.it/ontology/Pronuncia/426/2002,https://dati.cortecostituzionale.it/ontology/Pronuncia/111/1997,DIRITTO,IT-COST-2002-426_DIRITTO_line-3,2005,1,2002-10-07
https://dati.cortecostituzionale.it/ontology/Pronuncia/426/2002,https://dati.cortecostituzionale.it/ontology/Pronuncia/103/2002,DIRITTO|DIRITTO,IT-COST-2002-426_DIRITTO_line-1|IT-COST-2002-426_DIRITTO_line-2,191,2,2002-10-07
https://dati.cortecostituzionale.it/ontology/Pronuncia/426/2002,https://dati.cortecostituzionale.it/ontology/Pronuncia/156/2001,DIRITTO|FATTO|DIRITTO,IT-COST-2002-426_DIRITTO_line-1|IT-COST-2002-426_FATTO_line-5|IT-COST-2002-426_DIRITTO_line-2,515,3,2002-10-07
https://dati.cortecostituzionale.it/ontology/Pronuncia/342/1985,https://dati.cortecostituzionale.it/ontology/Pronuncia/365/1983,DIRITTO,IT-COST-1985-342_DIRITTO_line-5,715,1,1985-12-10
https://dati.cortecostituzionale.it/ontology/Pronuncia/342/1985,https://dati.cortecostituzionale.it/ontology/Pronuncia/143/1982,DIRITTO|FATTO|DISPOSITIVO,IT-COST-1985-342_DIRITTO_line-2|IT-COST-1985-342_FATTO_line-10|IT-COST-1985-342_DISPOSITIVO_line-2,1235,3,1985-12-10
https://dati.cortecostituzionale.it/ontology/Pronuncia/7/1969,https://dati.cortecostituzionale.it/ontology/Pronuncia/6/1969,DIRITTO,IT-COST-1969-7_DIRITTO_line-8_PAR-3,0,1,1969-01-29
https://dati.cortecostituzionale.it/ontology/Pronuncia/302/2010,https://dati.cortecostituzionale.it/ontology/Pronuncia/174/1998,DIRITTO,IT-COST-2010-302_DIRITTO_line-15_PAR-4,4538,1,2010-10-18
https://dati.cortecostituzionale.it/ontology/Pronuncia/49/1969,https://dati.cortecostituzionale.it/ontology/Pronuncia/10/1969,DIRITTO,IT-COST-1969-49_DIRITTO_line-2_PAR-2,44,1,1969-03-20
https://dati.cortecostituzionale.it/ontology/Pronuncia/167/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/25/1984,DIRITTO,IT-COST-2022-167_DIRITTO_line-37_PAR-7,14016,1,2022-06-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/167/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,DIRITTO|DIRITTO|DIRITTO|DIRITTO|DIRITTO,IT-COST-2022-167_DIRITTO_line-45_PAR-9|IT-COST-2022-167_DIRITTO_line-45_PAR-9|IT-COST-2022-167_DIRITTO_line-46_PAR-9|IT-COST-2022-167_DIRITTO_line-47_PAR-9|IT-COST-2022-167_DIRITTO_line-32_PAR-7,71,5,2022-06-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/288/2019,https://dati.cortecostituzionale.it/ontology/Pronuncia/269/2017,DIRITTO,IT-COST-2019-288_DIRITTO_line-65_PAR-6.5.2,739,1,2019-11-20
https://dati.cortecostituzionale.it/ontology/Pronuncia/288/2019,https://dati.cortecostituzionale.it/ontology/Pronuncia/201/2014,DIRITTO,IT-COST-2019-288_DIRITTO_line-65_PAR-6.5.2,1986,1,2019-11-20
https://dati.cortecostituzionale.it/ontology/Pronuncia/288/2019,https://dati.cortecostituzionale.it/ontology/Pronuncia/21/2005,FATTO|DIRITTO|FATTO,IT-COST-2019-288_FATTO_line-24_PAR-1.3.2|IT-COST-2019-288_DIRITTO_line-70_PAR-6.5.3|IT-COST-2019-288_FATTO_line-66_PAR-2.6,5451,3,2019-11-20
https://dati.cortecostituzionale.it/ontology/Pronuncia/288/2019,https://dati.cortecostituzionale.it/ontology/Pronuncia/236/2017,DIRITTO,IT-COST-2019-288_DIRITTO_line-38_PAR-5.5,773,1,2019-11-20
https://dati.cortecostituzionale.it/ontology/Pronuncia/288/2019,https://dati.cortecostituzionale.it/ontology/Pronuncia/251/2014,DIRITTO,IT-COST-2019-288_DIRITTO_line-41_PAR-5.6,1872,1,2019-11-20
https://dati.cortecostituzionale.it/ontology/Pronuncia/288/2019,https://dati.cortecostituzionale.it/ontology/Pronuncia/104/1985,DIRITTO,IT-COST-2019-288_DIRITTO_line-51_PAR-6.3,12668,1,2019-11-20
https://dati.cortecostituzionale.it/ontology/Pronuncia/288/2019,https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,FATTO|DIRITTO,IT-COST-2019-288_FATTO_line-62_PAR-2.4|IT-COST-2019-288_DIRITTO_line-51_PAR-6.3,1776,2,2019-11-20
https://dati.cortecostituzionale.it/ontology/Pronuncia/210/1983,https://dati.cortecostituzionale.it/ontology/Pronuncia/243/1982,DIRITTO|DIRITTO,IT-COST-1983-210_DIRITTO_line-2_PAR-2|IT-COST-1983-210_DIRITTO_line-5_PAR-3,189,2,1983-06-30
https://dati.cortecostituzionale.it/ontology/Pronuncia/210/1983,https://dati.cortecostituzionale.it/ontology/Pronuncia/85/1980,DIRITTO,IT-COST-1983-210_DIRITTO_line-5_PAR-3,1120,1,1983-06-30
https://dati.cortecostituzionale.it/ontology/Pronuncia/210/1983,https://dati.cortecostituzionale.it/ontology/Pronuncia/203/1983,DIRITTO,IT-COST-1983-210_DIRITTO_line-5_PAR-3,7,1,1983-06-30
https://dati.cortecostituzionale.it/ontology/Pronuncia/21/1988,https://dati.cortecostituzionale.it/ontology/Pronuncia/109/1967,DIRITTO,IT-COST-1988-21_DIRITTO_line-3,7496,1,1988-01-13
https://dati.cortecostituzionale.it/ontology/Pronuncia/158/1973,https://dati.cortecostituzionale.it/ontology/Pronuncia/90/1965,DIRITTO,IT-COST-1973-158_DIRITTO_line-9_PAR-3,2891,1,1973-11-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/158/1973,https://dati.cortecostituzionale.it/ontology/Pronuncia/23/1966,DIRITTO|DIRITTO,IT-COST-1973-158_DIRITTO_line-11_PAR-3|IT-COST-1973-158_DIRITTO_line-9_PAR-3,2813,2,1973-11-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/913/1988,https://dati.cortecostituzionale.it/ontology/Pronuncia/400/1987,DIRITTO,IT-COST-1988-913_DIRITTO_line-2,250,1,1988-07-07
https://dati.cortecostituzionale.it/ontology/Pronuncia/375/2004,https://dati.cortecostituzionale.it/ontology/Pronuncia/18/2000,FATTO,IT-COST-2004-375_FATTO_line-3,1777,1,2004-11-29
https://dati.cortecostituzionale.it/ontology/Pronuncia/375/2004,https://dati.cortecostituzionale.it/ontology/Pronuncia/114/2000,FATTO,IT-COST-2004-375_FATTO_line-4,1686,1,2004-11-29
https://dati.cortecostituzionale.it/ontology/Pronuncia/209/2018,https://dati.cortecostituzionale.it/ontology/Pronuncia/296/2003,DIRITTO,IT-COST-2018-209_DIRITTO_line-24_PAR-9.2,5536,1,2018-10-10
https://dati.cortecostituzionale.it/ontology/Pronuncia/209/2018,https://dati.cortecostituzionale.it/ontology/Pronuncia/311/2003,DIRITTO,IT-COST-2018-209_DIRITTO_line-24_PAR-9.2,5517,1,2018-10-10
https://dati.cortecostituzionale.it/ontology/Pronuncia/209/2018,https://dati.cortecostituzionale.it/ontology/Pronuncia/297/2003,DIRITTO,IT-COST-2018-209_DIRITTO_line-24_PAR-9.2,5536,1,2018-10-10
https://dati.cortecostituzionale.it/ontology/Pronuncia/209/2018,https://dati.cortecostituzionale.it/ontology/Pronuncia/455/2005,DIRITTO|DIRITTO|DIRITTO|FATTO|FATTO|DIRITTO|DIRITTO,IT-COST-2018-209_DIRITTO_line-9_PAR-4.1|IT-COST-2018-209_DIRITTO_line-13_PAR-5|IT-COST-2018-209_DIRITTO_line-21_PAR-9.1|IT-COST-2018-209_FATTO_line-6_PAR-3|IT-COST-2018-209_FATTO_line-10_PAR-5|IT-COST-2018-209_DIRITTO_line-25_PAR-10|IT-COST-2018-209_DIRITTO_line-26_PAR-10,4717,7,2018-10-10
https://dati.cortecostituzionale.it/ontology/Pronuncia/334/2009,https://dati.cortecostituzionale.it/ontology/Pronuncia/288/2004,DIRITTO,IT-COST-2009-334_DIRITTO_line-19_PAR-3,1969,1,2009-12-14
